experiment_id,model_name,fpr,tpr,threshold
random_forest_03,Random forest multivariable,0.023809523809523808,0.20408163265306123,0.8851253063103112
random_forest_03,Random forest multivariable,0.023809523809523808,0.3469387755102041,0.7676269734029912
random_forest_03,Random forest multivariable,0.047619047619047616,0.3469387755102041,0.7477041094605067
random_forest_03,Random forest multivariable,0.047619047619047616,0.5714285714285714,0.6783861674934158
random_forest_03,Random forest multivariable,0.09523809523809523,0.5714285714285714,0.6633577625329575
random_forest_03,Random forest multivariable,0.09523809523809523,0.673469387755102,0.6313697199563826
random_forest_03,Random forest multivariable,0.11904761904761904,0.673469387755102,0.6253209395731865
random_forest_03,Random forest multivariable,0.11904761904761904,0.6938775510204082,0.6154240365654747
random_forest_03,Random forest multivariable,0.14285714285714285,0.6938775510204082,0.6144885098333838
random_forest_03,Random forest multivariable,0.14285714285714285,0.7142857142857143,0.6070294276694609
random_forest_03,Random forest multivariable,0.19047619047619047,0.7142857142857143,0.5750122950451433
random_forest_03,Random forest multivariable,0.19047619047619047,0.7551020408163265,0.554802279125948
random_forest_03,Random forest multivariable,0.23809523809523808,0.7551020408163265,0.5145776018809664
random_forest_03,Random forest multivariable,0.23809523809523808,0.7755102040816326,0.5038090195052386
random_forest_03,Random forest multivariable,0.2619047619047619,0.7755102040816326,0.4794032062020023
random_forest_03,Random forest multivariable,0.2619047619047619,0.8367346938775511,0.45949233322870386
random_forest_03,Random forest multivariable,0.2857142857142857,0.8367346938775511,0.43574903388771147
random_forest_03,Random forest multivariable,0.2857142857142857,0.8979591836734694,0.40676435490800084
random_forest_03,Random forest multivariable,0.42857142857142855,0.8979591836734694,0.29386404839676783
random_forest_03,Random forest multivariable,0.42857142857142855,0.9183673469387755,0.2832472439595297
random_forest_03,Random forest multivariable,0.4523809523809524,0.9183673469387755,0.26096243076801307
random_forest_03,Random forest multivariable,0.4523809523809524,0.9387755102040817,0.24993581013847468
random_forest_03,Random forest multivariable,0.5,0.9387755102040817,0.23971420252684017
random_forest_03,Random forest multivariable,0.5,0.9795918367346939,0.2204877595613062
random_forest_03,Random forest multivariable,0.6428571428571429,0.9795918367346939,0.15535036330312046
random_forest_03,Random forest multivariable,0.6428571428571429,1.0,0.1425505405307052
random_forest_03,Random forest multivariable,1.0,1.0,0.03441415735168975
